"id","a2.pos","z","t","r.z","z.o","a1","a2","u","v","d1","d2","x1","x2"
22,3,0,72.7778774458297,1,0,3.34180812413303,4.91203320771063,4.91203320771063,Inf,0,0,1,1
23,3,0,140.891509045981,0,2,2.77308700410411,4.87638124809728,4.87638124809728,Inf,0,0,0,0
24,1,0,195.856420430173,1,0,0,1.01575516520513,1.01575516520513,Inf,0,0,1,1
25,2,0,9.61121167256642,1,0,1.1315684025243,2.04272485351805,2.04272485351805,Inf,0,0,1,1
26,1,0,205.201165720933,1,0,0,1.34926862177187,1.34926862177187,Inf,0,0,1,0
27,1,0,51.1801776701485,1,0,0,2.26708363057647,2.26708363057647,Inf,0,0,1,1
28,1,0,293.834426498145,1,0,0,1.6845080826235,1.6845080826235,Inf,0,0,1,0
29,1,0,504.36257530932,1,0,0,0.859892776008115,0.859892776008115,Inf,0,0,0,0
30,0,1,0,1,1,0,0,0,Inf,1,1,1,0
31,0,1,0,1,1,0,0,0,Inf,1,1,1,1
32,1,0,54.5649857331966,0,2,0,1.24390414867962,1.24390414867962,Inf,0,0,1,1
33,2,0,50.8217431934706,1,0,0.886616376385174,2.16540935712394,2.16540935712394,Inf,0,0,1,1
34,3,0,63.6974358340889,1,0,4.41963548128958,5.52748241229666,5.52748241229666,Inf,0,0,1,0
35,4,0,6.69504544300506,1,0,3.74222960345413,5.4053182061872,5.4053182061872,Inf,0,0,0,1
36,2,0,202.781990151292,1,0,1.34335554078782,2.55791055363823,2.55791055363823,Inf,0,0,0,0
37,3,0,13.4554216044613,1,0,1.55845187029826,3.19976711531891,3.19976711531891,Inf,0,0,0,0
38,2,0,181.132583890928,1,0,1.00443030217528,1.90267000344928,1.90267000344928,Inf,0,0,1,0
39,1,0,96.3991069833564,1,0,0,1.46849709761093,1.46849709761093,Inf,0,0,0,0
40,0,0,65.7856898805962,1,0,0,0,0,Inf,0,0,1,1
41,2,0,89.7012361408212,0,2,1.1043584008076,2.22304870109176,2.22304870109176,Inf,0,0,0,0
42,1,0,14.8220855332078,0,2,0,1.84429946752016,1.84429946752016,Inf,0,0,0,0
43,3,0,10.9394857009751,1,0,1.68420362174919,3.74338542508511,3.74338542508511,Inf,0,0,0,0
44,2,0,52.732389081467,1,0,1.59492561065766,3.39617739368079,3.39617739368079,Inf,0,0,1,1
45,3,0,18.4506080667535,1,0,3.54311112387524,5.50452712891101,5.50452712891101,Inf,0,0,1,1
46,3,0,102.561584246245,0,2,2.08393582370264,3.77853990416371,3.77853990416371,Inf,0,0,0,1
47,4,0,34.0504827897864,1,0,4.16510393951044,5.08262461869747,5.08262461869747,Inf,0,0,1,1
48,2,0,35.432886737547,1,0,0.913737735842478,1.95724014415636,1.95724014415636,Inf,0,0,1,1
49,1,0,44.0504544062733,1,0,0,1.77533155855764,1.77533155855764,Inf,0,0,0,0
50,4,0,49.5137924190926,1,0,4.28553136002663,5.78264710717509,5.78264710717509,Inf,0,0,0,0
51,2,0,4.4444295666802,1,0,1.48546154672835,4.28215367274663,4.28215367274663,Inf,0,0,1,1
52,3,0,166.285970208914,0,2,2.78673572526685,5.05806124502781,5.05806124502781,Inf,0,0,0,0
53,2,0,27.2493771402716,1,0,2.04043714063417,3.90480708532942,3.90480708532942,Inf,0,0,1,0
54,3,0,241.449983234914,1,0,2.83603063393165,4.93778247665643,4.93778247665643,Inf,0,0,1,0
55,1,0,508.541880299203,1,0,0,0.9772497271011,0.9772497271011,Inf,0,0,1,0
56,1,0,28.6970668540885,1,0,0,2.33448281358276,2.33448281358276,Inf,0,0,1,1
57,2,0,67.0422748564843,1,0,2.38024502186145,4.90214807158218,4.90214807158218,Inf,0,0,1,1
58,3,0,80.0281742877363,1,0,1.89671487924707,3.18972207261237,3.18972207261237,Inf,0,0,1,1
59,3,0,159.245741245532,0,2,4.24184914288657,5.71974233903948,5.71974233903948,Inf,0,0,0,0
60,1,0,28.8946338956047,1,0,0,1.97154744438482,1.97154744438482,Inf,0,0,1,1
61,2,0,419.434738162735,1,0,1.03086830215908,2.77457520425663,2.77457520425663,Inf,0,0,0,0
62,2,0,33.9855122577954,1,0,0.65355684085843,1.97984954441038,1.97984954441038,Inf,0,0,1,0
63,1,0,179.938219294149,1,0,0,0.55005946961665,0.55005946961665,Inf,0,0,1,0
64,2,0,113.268378589118,1,0,0.910192300739633,2.45904305666164,2.45904305666164,Inf,0,0,1,0
65,1,0,0.337428896501225,1,0,0,1.08152327487482,0,1.08152327487482,0,1,0,1
66,2,0,4.62116780108783,1,0,1.65403621531873,3.3034549879337,3.3034549879337,Inf,0,0,1,1
67,2,0,114.540997346182,1,0,1.05089827855527,2.45141139004859,2.45141139004859,Inf,0,0,1,0
68,4,0,40.1403160974698,1,0,4.63024808546108,5.29944795923435,5.29944795923435,Inf,0,0,0,0
69,2,0,20.3267769994366,0,2,0.993440000037948,2.76225252428944,2.76225252428944,Inf,0,0,1,1
70,1,0,287.13693102243,0,2,0,1.95629124712984,1.95629124712984,Inf,0,0,0,0
71,2,0,29.827405680041,1,0,2.42350096104789,4.17620539851811,4.17620539851811,Inf,0,0,1,0
72,2,0,69.6933428379023,1,0,1.53823137462423,4.4306935250033,4.4306935250033,Inf,0,0,0,1
73,2,0,39.4343958806973,1,0,1.62145425655658,2.3737135142835,2.3737135142835,Inf,0,0,1,1
74,1,0,21.6026492375784,1,0,0,1.20450961397255,1.20450961397255,Inf,0,0,1,0
75,3,0,14.2363064914609,1,0,2.72952808271459,3.78109373442357,3.78109373442357,Inf,0,0,1,0
76,0,0,353.246457749758,1,0,0,0,0,Inf,0,0,0,0
77,2,0,127.570030386072,1,0,1.51351779340941,2.37725370900278,2.37725370900278,Inf,0,0,0,0
78,2,0,36.131669084544,1,0,1.435142599892,3.58469364670604,3.58469364670604,Inf,0,0,1,1
79,1,0,38.656922710433,1,0,0,2.95828192226946,2.95828192226946,Inf,0,0,0,0
80,0,0,104.079642461181,1,0,0,0,0,Inf,0,0,0,0
81,4,0,8.74653545353163,1,0,4.22423849438585,5.23411714241422,5.23411714241422,Inf,0,0,1,0
82,1,0,13.7031096051089,0,2,0,0.947074214755251,0.947074214755251,Inf,0,0,0,0
83,2,0,72.0586248579194,1,0,1.99423394034837,3.76372144977677,3.76372144977677,Inf,0,0,1,1
84,2,0,27.8216223420116,1,0,0.93800411639666,2.87820713262541,2.87820713262541,Inf,0,0,1,1
85,2,0,13.273411055562,1,0,2.2254056439989,3.26076218045325,3.26076218045325,Inf,0,0,0,1
86,1,1,0,0,2,0,1.20885379507444,0,1.20885379507444,2,1,1,1
87,4,0,411.585811072227,1,0,3.81869886531231,4.57237311663602,4.57237311663602,Inf,0,0,0,0
88,1,0,39.4509074165333,1,0,0,1.08936985655145,1.08936985655145,Inf,0,0,1,0
89,2,0,19.3534754069894,1,0,0.99772616746227,2.5534685855132,2.5534685855132,Inf,0,0,1,0
90,2,0,61.2368599483809,1,0,1.61314197062863,3.38892626120063,3.38892626120063,Inf,0,0,1,1
91,1,0,30.8097755612213,1,0,0,1.99009662602491,1.99009662602491,Inf,0,0,1,0
92,4,0,30.0486898654164,1,0,3.52291332067762,4.47721248425448,4.47721248425448,Inf,0,0,1,0
93,0,0,152.264429766268,1,0,0,0,0,Inf,0,0,0,0
94,2,0,935.594221653844,0,2,2.02622751971257,3.41945008114499,3.41945008114499,Inf,0,0,0,0
95,2,0,104.079986794605,1,0,2.06215445296463,3.00732681007031,3.00732681007031,Inf,0,0,0,0
96,3,0,88.3337174067835,0,2,2.94534563246586,4.44359843973363,4.44359843973363,Inf,0,0,0,0
97,3,0,80.588018959568,1,0,3.34901757660559,4.11911679864574,4.11911679864574,Inf,0,0,1,0
98,1,0,30.7819878883182,1,0,0,0.833833918273007,0.833833918273007,Inf,0,0,1,1
99,1,0,66.616270606912,1,0,0,0.815288094882064,0.815288094882064,Inf,0,0,0,0
100,2,0,15.7368451844554,0,2,0.648112251254648,2.05512475499753,2.05512475499753,Inf,0,0,0,1
101,2,0,307.589195274307,0,2,1.82139650428205,3.16922552391026,3.16922552391026,Inf,0,0,0,0
102,1,0,185.914585194339,1,0,0,1.93630440584075,1.93630440584075,Inf,0,0,1,1
103,1,0,234.683699754196,1,0,0,1.73024829277707,1.73024829277707,Inf,0,0,1,1
104,1,0,26.7181777635153,1,0,0,1.35278818527015,1.35278818527015,Inf,0,0,0,1
105,1,1,0,0,2,0,0.755039505381698,0,0.755039505381698,2,1,0,0
106,2,0,44.0699612974928,1,0,2.02924617031435,3.93465836098323,3.93465836098323,Inf,0,0,1,1
107,1,0,13.1547893808763,1,0,0,1.21760730995768,1.21760730995768,Inf,0,0,1,1
108,1,0,23.1029145528083,1,0,0,1.21886207266899,1.21886207266899,Inf,0,0,1,1
109,2,0,195.328601280646,1,0,0.616259849532905,2.51456874972925,2.51456874972925,Inf,0,0,0,0
110,1,0,22.7751452443367,1,0,0,1.06481566375238,1.06481566375238,Inf,0,0,1,1
111,2,0,152.683160976089,1,0,1.607032759175,2.6762837412473,2.6762837412473,Inf,0,0,0,0
112,3,0,16.3924785622307,1,0,2.91819571576552,4.44885191795708,4.44885191795708,Inf,0,0,0,1
113,2,0,362.521453700175,1,0,2.48172055405937,3.70647470200956,3.70647470200956,Inf,0,0,1,0
114,3,0,18.136161790367,0,2,2.48147123528047,4.388986403272,4.388986403272,Inf,0,0,1,1
115,1,0,280.605552642635,0,2,0,2.17325302434689,2.17325302434689,Inf,0,0,1,0
116,2,0,6.15878805107499,1,0,0.522423290322751,1.67985173199536,1.67985173199536,Inf,0,0,1,1
117,2,0,785.579686366346,0,2,1.77829602231054,3.80615759504171,3.80615759504171,Inf,0,0,0,0
118,0,0,137.10755309169,1,0,0,0,0,Inf,0,0,1,0
119,1,0,7.90360386472122,0,2,0,1.5652952499019,1.5652952499019,Inf,0,0,1,1
120,1,0,43.3626567452204,0,2,0,1.69425009068144,1.69425009068144,Inf,0,0,0,1
121,2,0,163.643493013533,1,0,1.7026809890746,2.14862288748697,2.14862288748697,Inf,0,0,0,0
122,1,0,1.45270340747975,1,0,0,1.46856096385718,0,1.46856096385718,0,1,1,1
123,4,0,58.7663251425126,1,0,3.25018133995479,4.01174921871647,4.01174921871647,Inf,0,0,1,0
124,3,0,123.564111287638,1,0,2.95344563045181,3.73418397245174,3.73418397245174,Inf,0,0,1,1
125,3,0,371.008509558944,1,0,2.33492251587087,4.83259750033182,4.83259750033182,Inf,0,0,0,0
126,2,0,22.5142506763573,1,0,0.509707789238429,1.41192802294891,1.41192802294891,Inf,0,0,1,0
127,2,0,86.699292525233,1,0,1.81142832623149,3.45779397645692,3.45779397645692,Inf,0,0,1,1
128,3,0,97.0004718776746,1,0,2.5754927206455,3.71205926768283,3.71205926768283,Inf,0,0,1,0
129,0,0,16.5270697452818,0,2,0,0,0,Inf,2,2,1,1
130,1,0,40.7194533831677,1,0,0,1.57941399591519,1.57941399591519,Inf,0,0,1,0
131,1,0,2.01983277618684,1,0,0,2.42195674242211,0,2.42195674242211,0,1,1,0
132,2,0,79.0180825089393,1,0,1.24008981000973,2.09308260740157,2.09308260740157,Inf,0,0,1,1
133,2,0,42.5542869485166,1,0,0.799525924545641,1.93391417266269,1.93391417266269,Inf,0,0,1,0
134,1,0,275.108678282007,0,2,0,2.24617306182037,2.24617306182037,Inf,0,0,0,0
135,3,0,90.209072147737,1,0,2.36609258293909,3.39414165142346,3.39414165142346,Inf,0,0,0,1
136,4,0,34.0224664213276,1,0,4.75578934545572,5.49684650529134,5.49684650529134,Inf,0,0,1,1
137,3,0,8.94014079396072,1,0,1.67096341829591,3.000720752043,3.000720752043,Inf,0,0,1,1
138,1,0,42.345307372579,1,0,0,1.47460012491436,1.47460012491436,Inf,0,0,1,1
139,2,0,250.465342323692,0,2,0.70867152605928,3.57093313401119,3.57093313401119,Inf,0,0,0,0
140,3,0,79.1467571392431,1,0,2.61280943935357,4.18087294949972,4.18087294949972,Inf,0,0,1,1
141,2,0,238.524035546344,1,0,1.80041956530286,3.58132389094811,3.58132389094811,Inf,0,0,0,0
142,0,0,0.31816640309039,1,0,0,0,0,Inf,0,0,0,1
143,3,0,66.3006897523639,1,0,2.66295605758488,4.28896256713726,4.28896256713726,Inf,0,0,1,0
144,3,0,64.7789902986494,1,0,3.2911905225856,4.1695048148522,4.1695048148522,Inf,0,0,1,1
145,1,0,9.53614448718907,1,0,0,2.02218666359065,2.02218666359065,Inf,0,0,0,1
146,3,0,7.98915172759852,1,0,3.21313319034466,4.65685327372835,4.65685327372835,Inf,0,0,1,1
147,2,0,63.8486898592009,1,0,2.31009990372,2.79438833529043,2.79438833529043,Inf,0,0,1,1
148,2,0,47.2877723939747,0,2,1.15875292549175,3.95993095624768,3.95993095624768,Inf,0,0,0,0
149,1,0,40.5250087477366,1,0,0,1.7354167123728,1.7354167123728,Inf,0,0,1,0
150,1,0,21.2048424168092,1,0,0,1.51930479414525,1.51930479414525,Inf,0,0,0,0
151,1,0,36.1619157942795,0,2,0,1.68194325555608,1.68194325555608,Inf,0,0,0,0
152,1,0,210.842646339105,1,0,0,2.49985192155816,2.49985192155816,Inf,0,0,1,0
153,3,0,237.888685384652,1,0,2.49433262509463,4.0047636667534,4.0047636667534,Inf,0,0,1,0
154,0,0,176.662392220217,1,0,0,0,0,Inf,0,0,1,0
155,3,0,29.1048426786136,1,0,3.4018897204477,5.32835189005399,5.32835189005399,Inf,0,0,1,1
156,2,0,316.519356351378,1,0,1.37918817272167,2.75980684442053,2.75980684442053,Inf,0,0,1,0
157,1,0,58.9994121468299,1,0,0,1.39164028507882,1.39164028507882,Inf,0,0,1,1
158,2,0,23.2455806760235,1,0,1.09816999423857,2.02337376906412,2.02337376906412,Inf,0,0,1,1
159,3,0,6.92593086344565,1,0,3.83693702288286,5.15693696963033,5.15693696963033,Inf,0,0,1,0
160,1,0,373.487978614354,1,0,0,1.7397214007609,1.7397214007609,Inf,0,0,1,0
161,0,0,70.0582215933187,1,0,0,0,0,Inf,0,0,1,1
162,1,0,57.8199272821717,1,0,0,0.914738129441782,0.914738129441782,Inf,0,0,0,1
163,2,0,279.23360933056,1,0,1.82806178239364,2.89234841971431,2.89234841971431,Inf,0,0,1,0
164,3,0,140.677445304607,0,2,3.6011025559082,4.66375522918735,4.66375522918735,Inf,0,0,0,0
165,1,0,48.5191069448633,1,0,0,1.13621586973289,1.13621586973289,Inf,0,0,0,1
166,1,0,251.550961731514,1,0,0,1.20933019783772,1.20933019783772,Inf,0,0,1,0
167,1,0,11.3327377440327,1,0,0,0.982686150008466,0.982686150008466,Inf,0,0,1,1
168,2,0,31.1714099179106,1,0,1.80540202010725,2.89705304167793,2.89705304167793,Inf,0,0,1,1
169,3,0,144.731321344701,1,0,3.09529677237469,4.00153320436803,4.00153320436803,Inf,0,0,0,0
170,3,0,19.8296927764137,0,2,2.57360133243453,3.42887025447372,3.42887025447372,Inf,0,0,1,1
171,1,0,188.529659499479,0,2,0,2.42834345675312,2.42834345675312,Inf,0,0,0,0
172,1,0,5.97720914673525,1,0,0,1.69562771135787,1.69562771135787,Inf,0,0,0,1
173,2,0,11.2388444637741,0,2,1.99232217347795,3.74436251431461,3.74436251431461,Inf,0,0,0,0
174,2,0,205.605119331237,1,0,1.4505337477085,3.17405303478889,3.17405303478889,Inf,0,0,1,0
175,0,1,0,1,1,0,0,0,Inf,1,1,1,1
176,2,0,255.180576442598,0,2,1.15298868067146,3.46965014407867,3.46965014407867,Inf,0,0,0,0
177,2,0,2.39019701408839,1,0,0.859340003985974,2.18684920421767,2.18684920421767,Inf,0,0,0,1
178,2,0,141.348734163024,0,2,0.934556753521239,4.57249824797047,4.57249824797047,Inf,0,0,0,0
179,1,0,73.7504954829171,1,0,0,1.41055523688619,1.41055523688619,Inf,0,0,0,0
180,0,0,318.953381141569,1,0,0,0,0,Inf,0,0,0,0
181,1,0,283.42428319059,1,0,0,1.71038620278434,1.71038620278434,Inf,0,0,1,0
182,1,0,188.963147041285,1,0,0,1.21092749717264,1.21092749717264,Inf,0,0,1,0
183,2,0,182.920652438593,1,0,1.58724368973972,3.3831955271597,3.3831955271597,Inf,0,0,0,0
184,0,1,0,1,1,0,0,0,Inf,1,1,1,1
185,2,0,573.153127901425,0,2,1.4697691159099,4.47323522483597,4.47323522483597,Inf,0,0,0,0
186,2,0,127.939030607557,1,0,0.881102856502809,2.11443773998472,2.11443773998472,Inf,0,0,1,0
187,2,0,40.5520948273295,0,2,1.97412953673724,3.13157638248518,3.13157638248518,Inf,0,0,0,0
188,1,0,250.056624001804,1,0,0,1.09376204393644,1.09376204393644,Inf,0,0,0,0
189,2,0,7.90926889855892,1,0,1.33477442604555,3.22327889367598,3.22327889367598,Inf,0,0,0,1
190,1,0,26.6219253196959,1,0,0,0.894688709430022,0.894688709430022,Inf,0,0,1,1
191,2,0,12.372524753351,1,0,2.75234492375679,3.58166192802164,3.58166192802164,Inf,0,0,0,0
192,3,0,150.240073208262,1,0,3.72870172428519,5.39920115927612,5.39920115927612,Inf,0,0,1,0
193,2,0,22.1934837506402,1,0,1.38817194786726,1.98189682375612,1.98189682375612,Inf,0,0,1,0
194,0,0,126.208349805123,1,0,0,0,0,Inf,0,0,0,0
195,2,0,30.5097996935967,1,0,3.40047488686005,5.49267310801072,5.49267310801072,Inf,0,0,1,1
196,1,0,0.891661451665058,1,0,0,1.05363115179382,0,1.05363115179382,0,1,1,1
197,2,0,96.3314676618081,1,0,1.09872344665103,3.01669423769479,3.01669423769479,Inf,0,0,1,1
198,1,0,44.8036910746785,0,2,0,0.972619391601735,0.972619391601735,Inf,0,0,0,0
199,0,1,0,1,1,0,0,0,Inf,1,1,1,1
200,1,0,294.11449108352,1,0,0,2.27438427761868,2.27438427761868,Inf,0,0,0,0
201,1,0,90.2485158426858,1,0,0,1.38006993099303,1.38006993099303,Inf,0,0,1,0
202,1,0,3.20960586418829,1,0,0,0.808248602372927,0.808248602372927,Inf,0,0,1,1
203,3,0,88.4814414672842,1,0,2.07958448329521,3.49783050001789,3.49783050001789,Inf,0,0,1,0
204,2,0,594.55287853538,1,0,0.918974240718495,2.18439603085292,2.18439603085292,Inf,0,0,1,0
205,1,0,26.8278078979841,1,0,0,1.25580772644781,1.25580772644781,Inf,0,0,1,1
206,1,0,51.2747777884153,1,0,0,1.43374890401074,1.43374890401074,Inf,0,0,1,0
207,0,0,11.1876605984897,1,0,0,0,0,Inf,0,0,1,1
208,2,0,219.956701623644,1,0,2.4752199134259,3.88334026284204,3.88334026284204,Inf,0,0,1,0
209,1,0,48.9631768786599,1,0,0,2.05430075330689,2.05430075330689,Inf,0,0,1,0
210,2,0,55.613175051445,1,0,1.79925190040915,3.83851440057692,3.83851440057692,Inf,0,0,0,0
211,0,0,200.904468600402,1,0,0,0,0,Inf,0,0,0,0
212,2,0,5.17318535123901,1,0,2.53689663175388,4.31738804005428,4.31738804005428,Inf,0,0,1,0
213,3,0,39.7414129421749,1,0,3.38649119090156,4.7511668872273,4.7511668872273,Inf,0,0,0,1
214,4,0,8.9064086012017,1,0,3.4038963285334,4.88521620892252,4.88521620892252,Inf,0,0,0,1
215,1,0,163.906755888133,1,0,0,1.80669560506803,1.80669560506803,Inf,0,0,0,0
216,1,0,66.4888123153802,1,0,0,1.08434855150142,1.08434855150142,Inf,0,0,1,0
217,1,0,153.239957727024,0,2,0,1.5920494861528,1.5920494861528,Inf,0,0,0,0
218,3,0,32.4690704801853,1,0,3.02540364731141,5.24756996565296,5.24756996565296,Inf,0,0,0,0
219,1,0,120.149594214567,1,0,0,1.99089309617783,1.99089309617783,Inf,0,0,0,0
220,2,0,58.3834516076815,1,0,0.918929134864952,1.92454965329596,1.92454965329596,Inf,0,0,1,1
221,3,0,44.736643730252,1,0,3.01444421846153,4.73027504920648,4.73027504920648,Inf,0,0,1,1
222,3,0,29.6012011448232,1,0,2.4120523670358,2.7992232425719,2.7992232425719,Inf,0,0,1,1
223,2,0,75.3733784263577,1,0,0.985338093098349,2.29469236640276,2.29469236640276,Inf,0,0,1,0
224,0,0,5.07338520882329,1,0,0,0,0,Inf,0,0,1,1
225,2,0,190.795128035811,0,2,3.15923503419691,3.76505299461504,3.76505299461504,Inf,0,0,0,0
226,1,0,42.6059602064417,1,0,0,1.52444442232369,1.52444442232369,Inf,0,0,1,0
227,1,0,195.462880253698,1,0,0,0.936930856016375,0.936930856016375,Inf,0,0,1,0
228,2,0,284.657485955017,1,0,2.73483025259956,3.9017968831872,3.9017968831872,Inf,0,0,1,0
229,1,0,7.44718457566306,1,0,0,0.866123194292336,0.866123194292336,Inf,0,0,1,1
230,2,0,294.428237753184,1,0,1.81184813262318,3.27533971144841,3.27533971144841,Inf,0,0,0,0
231,3,0,35.6565021618893,1,0,2.21906316694756,4.52277570163474,4.52277570163474,Inf,0,0,1,0
232,3,0,6.76012432927215,1,0,2.90316426261408,4.02522032977836,4.02522032977836,Inf,0,0,1,1
233,2,0,125.123756299539,1,0,1.64476406696785,3.53698071277876,3.53698071277876,Inf,0,0,1,1
234,2,0,55.2825409264354,1,0,1.56055011130914,2.85381228291738,2.85381228291738,Inf,0,0,0,1
235,2,0,16.3995533169699,1,0,1.4995098304475,2.01867780011829,2.01867780011829,Inf,0,0,1,1
236,2,0,87.7641085871186,1,0,1.851200035572,2.81375286538415,2.81375286538415,Inf,0,0,0,1
237,0,0,198.033630369486,0,2,0,0,0,Inf,2,2,0,0
238,3,0,106.116099604473,1,0,3.34012082405515,5.17929810627153,5.17929810627153,Inf,0,0,1,1
239,2,0,8.42385006104441,1,0,1.43080724605143,3.46399622162573,3.46399622162573,Inf,0,0,1,1
240,0,1,0,1,1,0,0,0,Inf,1,1,1,1
241,1,0,6.54301558419695,1,0,0,0.812780503919522,0.812780503919522,Inf,0,0,1,1
242,1,0,4.07993090668125,0,2,0,1.22849594852183,1.22849594852183,Inf,0,0,1,1
243,1,0,180.993282188495,1,0,0,1.56379199770152,1.56379199770152,Inf,0,0,0,0
244,0,1,0,1,1,0,0,0,Inf,1,1,1,1
245,2,0,152.700259279746,1,0,1.14912573640706,3.13798392339497,3.13798392339497,Inf,0,0,1,1
246,3,0,72.6661338967393,1,0,3.29893980924154,5.68269686047325,5.68269686047325,Inf,0,0,1,1
247,2,0,14.233989384437,1,0,2.52939488082909,5.25475102426914,5.25475102426914,Inf,0,0,1,1
248,1,0,2.76413611491874,1,0,0,1.5359338101072,1.5359338101072,Inf,0,0,1,1
249,0,0,1.75973790371984,1,0,0,0,0,Inf,0,0,1,1
250,3,0,59.6656862362959,1,0,4.0564801577984,4.97560896142186,4.97560896142186,Inf,0,0,0,0
251,1,0,50.9204944328679,1,0,0,1.50741630381584,1.50741630381584,Inf,0,0,0,0
252,1,0,39.4785197490194,1,0,0,1.91069649765844,1.91069649765844,Inf,0,0,0,0
253,0,1,0,1,1,0,0,0,Inf,1,1,1,1
254,0,0,91.4381572591212,1,0,0,0,0,Inf,0,0,0,0
255,3,0,18.4309234275676,1,0,2.49423544780647,4.01651482574153,4.01651482574153,Inf,0,0,1,0
256,3,0,74.0511577108656,1,0,2.4728396572304,3.99581173458047,3.99581173458047,Inf,0,0,1,0
257,2,0,47.3418784297798,1,0,1.19692511146072,2.28896345500356,2.28896345500356,Inf,0,0,1,1
258,0,0,499.947905965805,1,0,0,0,0,Inf,0,0,1,0
259,0,1,0,1,1,0,0,0,Inf,1,1,1,1
260,2,0,30.973511247427,0,2,1.20375197592658,1.54870276037093,1.54870276037093,Inf,0,0,0,0
261,3,0,14.264630538477,1,0,2.48460820641381,4.28726415858377,4.28726415858377,Inf,0,0,1,1
262,2,0,24.0576981589617,1,0,1.43593889847796,2.69572503797723,2.69572503797723,Inf,0,0,1,1
263,1,0,74.0970400923173,1,0,0,2.09019574086769,2.09019574086769,Inf,0,0,1,0
264,0,0,105.205605731067,1,0,0,0,0,Inf,0,0,0,1
265,2,0,12.6484695195917,1,0,1.29217105065602,2.85486233235148,2.85486233235148,Inf,0,0,0,0
266,2,0,11.5579846701673,1,0,0.832713949450919,2.67956598415595,2.67956598415595,Inf,0,0,1,0
267,2,0,89.3040255251192,0,2,1.11335930325502,2.82118019679534,2.82118019679534,Inf,0,0,1,0
268,2,0,105.409207768892,0,2,2.04106043444884,3.60726155122975,3.60726155122975,Inf,0,0,0,0
269,0,0,24.0063603312173,1,0,0,0,0,Inf,0,0,0,1
270,2,0,40.6667163351849,1,0,1.42774200993102,3.39719042877886,3.39719042877886,Inf,0,0,1,0
271,2,0,55.2075114299726,1,0,0.77083687578712,1.78260263127278,1.78260263127278,Inf,0,0,1,1
272,1,0,35.2967056540591,1,0,0,1.52203727108586,1.52203727108586,Inf,0,0,1,1
273,0,1,0,1,1,0,0,0,Inf,1,1,1,1
274,2,0,14.8956463502745,1,0,0.636643198889229,2.5226693060025,2.5226693060025,Inf,0,0,1,1
275,2,0,157.671693538498,1,0,1.52522887643186,3.07704388594454,3.07704388594454,Inf,0,0,1,0
276,1,0,11.8693195752845,1,0,0,2.1514099408617,2.1514099408617,Inf,0,0,1,1
277,0,0,93.448395446308,1,0,0,0,0,Inf,0,0,1,0
278,3,0,212.907579594755,1,0,2.61147163786136,4.68721604698212,4.68721604698212,Inf,0,0,1,1
279,1,0,100.093505045374,1,0,0,1.8863847961949,1.8863847961949,Inf,0,0,1,0
280,0,1,0,1,1,0,0,0,Inf,1,1,0,1
281,2,0,247.897865835204,1,0,1.73941374148104,3.65413330766142,3.65413330766142,Inf,0,0,1,0
282,2,0,3.12639144743386,1,0,0.907346605972827,2.19655106514774,2.19655106514774,Inf,0,0,1,0
283,1,0,511.141426097813,1,0,0,1.09445976103275,1.09445976103275,Inf,0,0,0,0
